"global_step","MountainCarContinuous-v0_mpc_s4_1754939755 - _step","MountainCarContinuous-v0_mpc_s4_1754939755 - _step__MIN","MountainCarContinuous-v0_mpc_s4_1754939755 - _step__MAX","MountainCarContinuous-v0_mpc_s4_1754939755 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s4_1754939755 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s4_1754939755 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s9_1754939128 - _step","MountainCarContinuous-v0_mpc_s9_1754939128 - _step__MIN","MountainCarContinuous-v0_mpc_s9_1754939128 - _step__MAX","MountainCarContinuous-v0_mpc_s9_1754939128 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s9_1754939128 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s9_1754939128 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s8_1754938677 - _step","MountainCarContinuous-v0_mpc_s8_1754938677 - _step__MIN","MountainCarContinuous-v0_mpc_s8_1754938677 - _step__MAX","MountainCarContinuous-v0_mpc_s8_1754938677 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s8_1754938677 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s8_1754938677 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s7_1754938137 - _step","MountainCarContinuous-v0_mpc_s7_1754938137 - _step__MIN","MountainCarContinuous-v0_mpc_s7_1754938137 - _step__MAX","MountainCarContinuous-v0_mpc_s7_1754938137 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s7_1754938137 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s7_1754938137 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s6_1754937590 - _step","MountainCarContinuous-v0_mpc_s6_1754937590 - _step__MIN","MountainCarContinuous-v0_mpc_s6_1754937590 - _step__MAX","MountainCarContinuous-v0_mpc_s6_1754937590 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s6_1754937590 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s6_1754937590 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s5_1754937070 - _step","MountainCarContinuous-v0_mpc_s5_1754937070 - _step__MIN","MountainCarContinuous-v0_mpc_s5_1754937070 - _step__MAX","MountainCarContinuous-v0_mpc_s5_1754937070 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s5_1754937070 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s5_1754937070 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s3_1754933676 - _step","MountainCarContinuous-v0_mpc_s3_1754933676 - _step__MIN","MountainCarContinuous-v0_mpc_s3_1754933676 - _step__MAX","MountainCarContinuous-v0_mpc_s3_1754933676 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s3_1754933676 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s3_1754933676 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s2_1754933238 - _step","MountainCarContinuous-v0_mpc_s2_1754933238 - _step__MIN","MountainCarContinuous-v0_mpc_s2_1754933238 - _step__MAX","MountainCarContinuous-v0_mpc_s2_1754933238 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s2_1754933238 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s2_1754933238 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s1_1754932711 - _step","MountainCarContinuous-v0_mpc_s1_1754932711 - _step__MIN","MountainCarContinuous-v0_mpc_s1_1754932711 - _step__MAX","MountainCarContinuous-v0_mpc_s1_1754932711 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s1_1754932711 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s1_1754932711 - model/one_step_MSE__MAX","MountainCarContinuous-v0_mpc_s0_1754932117 - _step","MountainCarContinuous-v0_mpc_s0_1754932117 - _step__MIN","MountainCarContinuous-v0_mpc_s0_1754932117 - _step__MAX","MountainCarContinuous-v0_mpc_s0_1754932117 - model/one_step_MSE","MountainCarContinuous-v0_mpc_s0_1754932117 - model/one_step_MSE__MIN","MountainCarContinuous-v0_mpc_s0_1754932117 - model/one_step_MSE__MAX"
"5200","672","672","672","0.00007170648","0.00007170648","0.00007170648","672","672","672","0.000083047824","0.000083047824","0.000083047824","672","672","672","0.00007961679","0.00007961679","0.00007961679","672","672","672","0.00009298047","0.00009298047","0.00009298047","672","672","672","0.00015277","0.00015277","0.00015277","672","672","672","0.00015356322","0.00015356322","0.00015356322","672","672","672","0.0010278219","0.0010278219","0.0010278219","672","672","672","0.00025996877","0.00025996877","0.00025996877","672","672","672","0.00007385964","0.00007385964","0.00007385964","672","672","672","0.0013903817","0.0013903817","0.0013903817"
"5250","682","682","682","0.00007641928","0.00007641928","0.00007641928","682","682","682","0.000089292014","0.000089292014","0.000089292014","682","682","682","0.00008803875","0.00008803875","0.00008803875","682","682","682","0.00008262975","0.00008262975","0.00008262975","682","682","682","0.00009534425","0.00009534425","0.00009534425","682","682","682","0.00037960266","0.00037960266","0.00037960266","682","682","682","0.000113794915","0.000113794915","0.000113794915","682","682","682","0.00026866305","0.00026866305","0.00026866305","682","682","682","0.00006532124","0.00006532124","0.00006532124","682","682","682","0.0001340972","0.0001340972","0.0001340972"
"5300","691","691","691","0.00010440135","0.00010440135","0.00010440135","691","691","691","0.00010089888","0.00010089888","0.00010089888","691","691","691","0.000090224465","0.000090224465","0.000090224465","691","691","691","0.00008554911","0.00008554911","0.00008554911","691","691","691","0.000106153486","0.000106153486","0.000106153486","691","691","691","0.00018541524","0.00018541524","0.00018541524","691","691","691","0.000113073744","0.000113073744","0.000113073744","691","691","691","0.00012148099","0.00012148099","0.00012148099","691","691","691","0.000069410606","0.000069410606","0.000069410606","691","691","691","0.0008017427","0.0008017427","0.0008017427"
"5350","700","700","700","0.00008698329","0.00008698329","0.00008698329","700","700","700","0.000089526744","0.000089526744","0.000089526744","700","700","700","0.00007539296","0.00007539296","0.00007539296","700","700","700","0.000092323615","0.000092323615","0.000092323615","700","700","700","0.00008250044","0.00008250044","0.00008250044","700","700","700","0.00012044284","0.00012044284","0.00012044284","700","700","700","0.00007572351","0.00007572351","0.00007572351","700","700","700","0.00018165898","0.00018165898","0.00018165898","700","700","700","0.00006788806","0.00006788806","0.00006788806","700","700","700","0.0010301359","0.0010301359","0.0010301359"
"5400","709","709","709","0.00007535049","0.00007535049","0.00007535049","709","709","709","0.000088718414","0.000088718414","0.000088718414","709","709","709","0.0010766482","0.0010766482","0.0010766482","709","709","709","0.00010104735","0.00010104735","0.00010104735","709","709","709","0.00012699308","0.00012699308","0.00012699308","709","709","709","0.00020277782","0.00020277782","0.00020277782","709","709","709","0.0019526638","0.0019526638","0.0019526638","709","709","709","0.0010608196","0.0010608196","0.0010608196","709","709","709","0.00007198629","0.00007198629","0.00007198629","709","709","709","0.0008070189","0.0008070189","0.0008070189"
"5450","719","719","719","0.0000856782","0.0000856782","0.0000856782","719","719","719","0.00010764463","0.00010764463","0.00010764463","719","719","719","0.000080819256","0.000080819256","0.000080819256","719","719","719","0.00012510564","0.00012510564","0.00012510564","719","719","719","0.00008647132","0.00008647132","0.00008647132","719","719","719","0.000111414134","0.000111414134","0.000111414134","719","719","719","0.00010518975","0.00010518975","0.00010518975","719","719","719","0.00017293423","0.00017293423","0.00017293423","719","719","719","0.000066120774","0.000066120774","0.000066120774","720","720","720","0.0010030688","0.0010030688","0.0010030688"
"5500","728","728","728","0.000077462086","0.000077462086","0.000077462086","728","728","728","0.00009502837","0.00009502837","0.00009502837","728","728","728","0.000081062084","0.000081062084","0.000081062084","728","728","728","0.00007775922","0.00007775922","0.00007775922","728","728","728","0.00011509475","0.00011509475","0.00011509475","728","728","728","0.00012780735","0.00012780735","0.00012780735","728","728","728","0.00012245735","0.00012245735","0.00012245735","728","728","728","0.0002728832","0.0002728832","0.0002728832","728","728","728","0.00006834269","0.00006834269","0.00006834269","729","729","729","0.00068538776","0.00068538776","0.00068538776"
"5550","737","737","737","0.00007641515","0.00007641515","0.00007641515","737","737","737","0.000121452074","0.000121452074","0.000121452074","737","737","737","0.000107697255","0.000107697255","0.000107697255","737","737","737","0.00008918862","0.00008918862","0.00008918862","737","737","737","0.00007435101","0.00007435101","0.00007435101","737","737","737","0.00013717105","0.00013717105","0.00013717105","737","737","737","0.000095143856","0.000095143856","0.000095143856","737","737","737","0.00012829663","0.00012829663","0.00012829663","737","737","737","0.000052298874","0.000052298874","0.000052298874","738","738","738","0.00082444085","0.00082444085","0.00082444085"
"5600","746","746","746","0.000076585915","0.000076585915","0.000076585915","746","746","746","0.00008335739","0.00008335739","0.00008335739","746","746","746","0.00007106637","0.00007106637","0.00007106637","746","746","746","0.000076477714","0.000076477714","0.000076477714","746","746","746","0.00009564776","0.00009564776","0.00009564776","746","746","746","0.00011277242","0.00011277242","0.00011277242","746","746","746","0.00011320823","0.00011320823","0.00011320823","746","746","746","0.0002935772","0.0002935772","0.0002935772","746","746","746","0.00007691107","0.00007691107","0.00007691107","747","747","747","0.00009457313","0.00009457313","0.00009457313"
"5650","756","756","756","0.000091743306","0.000091743306","0.000091743306","756","756","756","0.00008832017","0.00008832017","0.00008832017","756","756","756","0.000075997305","0.000075997305","0.000075997305","756","756","756","0.00009709689","0.00009709689","0.00009709689","756","756","756","0.0002670814","0.0002670814","0.0002670814","756","756","756","0.00011976243","0.00011976243","0.00011976243","756","756","756","0.000094337265","0.000094337265","0.000094337265","756","756","756","0.000112187845","0.000112187845","0.000112187845","756","756","756","0.0000725611","0.0000725611","0.0000725611","757","757","757","0.00017620224","0.00017620224","0.00017620224"
"5700","765","765","765","0.000070725466","0.000070725466","0.000070725466","765","765","765","0.000097254306","0.000097254306","0.000097254306","765","765","765","0.00008176317","0.00008176317","0.00008176317","765","765","765","0.0000741361","0.0000741361","0.0000741361","765","765","765","0.00009826003","0.00009826003","0.00009826003","765","765","765","0.000109609915","0.000109609915","0.000109609915","765","765","765","0.0001228441","0.0001228441","0.0001228441","765","765","765","0.00010886274","0.00010886274","0.00010886274","765","765","765","0.00006386017","0.00006386017","0.00006386017","766","766","766","0.00010652328","0.00010652328","0.00010652328"
"5750","774","774","774","0.00009872293","0.00009872293","0.00009872293","774","774","774","0.00010184645","0.00010184645","0.00010184645","774","774","774","0.00007989671","0.00007989671","0.00007989671","774","774","774","0.00007164434","0.00007164434","0.00007164434","774","774","774","0.00009843067","0.00009843067","0.00009843067","774","774","774","0.00012300513","0.00012300513","0.00012300513","774","774","774","0.000073480594","0.000073480594","0.000073480594","774","774","774","0.00010943527","0.00010943527","0.00010943527","774","774","774","0.00010687492","0.00010687492","0.00010687492","775","775","775","0.0008758347","0.0008758347","0.0008758347"
"5800","783","783","783","0.00007953844","0.00007953844","0.00007953844","783","783","783","0.00009566109","0.00009566109","0.00009566109","783","783","783","0.00007425819","0.00007425819","0.00007425819","783","783","783","0.0000708688","0.0000708688","0.0000708688","783","783","783","0.00007838987","0.00007838987","0.00007838987","783","783","783","0.00012656969","0.00012656969","0.00012656969","783","783","783","0.00006512237","0.00006512237","0.00006512237","783","783","783","0.00013720576","0.00013720576","0.00013720576","783","783","783","0.00011745169","0.00011745169","0.00011745169","784","784","784","0.00013959492","0.00013959492","0.00013959492"
"5850","793","793","793","0.00008375476","0.00008375476","0.00008375476","793","793","793","0.0000892563","0.0000892563","0.0000892563","793","793","793","0.000080466394","0.000080466394","0.000080466394","793","793","793","0.00010696128","0.00010696128","0.00010696128","793","793","793","0.00009720329","0.00009720329","0.00009720329","793","793","793","0.00013288407","0.00013288407","0.00013288407","793","793","793","0.00011382892","0.00011382892","0.00011382892","793","793","793","0.00076179544","0.00076179544","0.00076179544","793","793","793","0.0000676498","0.0000676498","0.0000676498","794","794","794","0.000089402805","0.000089402805","0.000089402805"
"5900","802","802","802","0.00007734341","0.00007734341","0.00007734341","802","802","802","0.00008409833","0.00008409833","0.00008409833","802","802","802","0.000076950804","0.000076950804","0.000076950804","802","802","802","0.000072678056","0.000072678056","0.000072678056","802","802","802","0.0011574936","0.0011574936","0.0011574936","802","802","802","0.00013942656","0.00013942656","0.00013942656","802","802","802","0.0002068815","0.0002068815","0.0002068815","802","802","802","0.00011030162","0.00011030162","0.00011030162","802","802","802","0.00006259907","0.00006259907","0.00006259907","803","803","803","0.00014034595","0.00014034595","0.00014034595"
"5950","811","811","811","0.0000907059","0.0000907059","0.0000907059","811","811","811","0.000091083195","0.000091083195","0.000091083195","811","811","811","0.00009179542","0.00009179542","0.00009179542","811","811","811","0.00007981771","0.00007981771","0.00007981771","811","811","811","0.000096118485","0.000096118485","0.000096118485","811","811","811","0.000110011715","0.000110011715","0.000110011715","811","811","811","0.00019738445","0.00019738445","0.00019738445","811","811","811","0.00036327232","0.00036327232","0.00036327232","811","811","811","0.000079025674","0.000079025674","0.000079025674","812","812","812","0.00010250126","0.00010250126","0.00010250126"
"6000","820","820","820","0.00007606098","0.00007606098","0.00007606098","820","820","820","0.00012595588","0.00012595588","0.00012595588","820","820","820","0.00007149225","0.00007149225","0.00007149225","820","820","820","0.00006534706","0.00006534706","0.00006534706","820","820","820","0.0011609436","0.0011609436","0.0011609436","820","820","820","0.00013357043","0.00013357043","0.00013357043","820","820","820","0.00007617146","0.00007617146","0.00007617146","820","820","820","0.00037082762","0.00037082762","0.00037082762","820","820","820","0.000059407816","0.000059407816","0.000059407816","821","821","821","0.00010288071","0.00010288071","0.00010288071"
"6050","838","838","838","0.0001061814","0.0001061814","0.0001061814","838","838","838","0.00008829991","0.00008829991","0.00008829991","838","838","838","0.00007954572","0.00007954572","0.00007954572","838","838","838","0.00010718062","0.00010718062","0.00010718062","838","838","838","0.000085040905","0.000085040905","0.000085040905","838","838","838","0.00012972242","0.00012972242","0.00012972242","838","838","838","0.00007679615","0.00007679615","0.00007679615","838","838","838","0.00012947721","0.00012947721","0.00012947721","838","838","838","0.00012357916","0.00012357916","0.00012357916","838","838","838","0.00009939179","0.00009939179","0.00009939179"
"6100","847","847","847","0.00007289513","0.00007289513","0.00007289513","847","847","847","0.00017931176","0.00017931176","0.00017931176","847","847","847","0.00007892352","0.00007892352","0.00007892352","847","847","847","0.00012667241","0.00012667241","0.00012667241","847","847","847","0.000093662915","0.000093662915","0.000093662915","847","847","847","0.00029891336","0.00029891336","0.00029891336","847","847","847","0.00007433757","0.00007433757","0.00007433757","847","847","847","0.00015404496","0.00015404496","0.00015404496","847","847","847","0.00006437132","0.00006437132","0.00006437132","847","847","847","0.000087282286","0.000087282286","0.000087282286"
"6150","856","856","856","0.00007398003","0.00007398003","0.00007398003","856","856","856","0.000086295666","0.000086295666","0.000086295666","856","856","856","0.00012901005","0.00012901005","0.00012901005","856","856","856","0.00007137364","0.00007137364","0.00007137364","856","856","856","0.00009099455","0.00009099455","0.00009099455","856","856","856","0.00029894343","0.00029894343","0.00029894343","856","856","856","0.00007118368","0.00007118368","0.00007118368","856","856","856","0.00015490165","0.00015490165","0.00015490165","856","856","856","0.00006895528","0.00006895528","0.00006895528","856","856","856","0.00012506443","0.00012506443","0.00012506443"
"6200","865","865","865","0.00007794684","0.00007794684","0.00007794684","865","865","865","0.00048106766","0.00048106766","0.00048106766","865","865","865","0.00008749317","0.00008749317","0.00008749317","865","865","865","0.00009610779","0.00009610779","0.00009610779","865","865","865","0.000087387816","0.000087387816","0.000087387816","865","865","865","0.00016792855","0.00016792855","0.00016792855","865","865","865","0.00020247213","0.00020247213","0.00020247213","865","865","865","0.00019380994","0.00019380994","0.00019380994","865","865","865","0.00006907198","0.00006907198","0.00006907198","865","865","865","0.00008565108","0.00008565108","0.00008565108"
"6250","875","875","875","0.00007373582","0.00007373582","0.00007373582","875","875","875","0.00008687464","0.00008687464","0.00008687464","875","875","875","0.00006300195","0.00006300195","0.00006300195","875","875","875","0.000060071394","0.000060071394","0.000060071394","875","875","875","0.00010937978","0.00010937978","0.00010937978","875","875","875","0.00011912703","0.00011912703","0.00011912703","875","875","875","0.00018463825","0.00018463825","0.00018463825","875","875","875","0.0010348895","0.0010348895","0.0010348895","875","875","875","0.00006328494","0.00006328494","0.00006328494","875","875","875","0.000662769","0.000662769","0.000662769"
"6300","884","884","884","0.00007878859","0.00007878859","0.00007878859","884","884","884","0.000091205846","0.000091205846","0.000091205846","884","884","884","0.001054013","0.001054013","0.001054013","884","884","884","0.00006247284","0.00006247284","0.00006247284","884","884","884","0.00008847088","0.00008847088","0.00008847088","884","884","884","0.00014077073","0.00014077073","0.00014077073","884","884","884","0.000065441876","0.000065441876","0.000065441876","884","884","884","0.00022147698","0.00022147698","0.00022147698","884","884","884","0.000060367143","0.000060367143","0.000060367143","884","884","884","0.00010823448","0.00010823448","0.00010823448"
"6350","893","893","893","0.00007863856","0.00007863856","0.00007863856","893","893","893","0.00020214984","0.00020214984","0.00020214984","893","893","893","0.00007087461","0.00007087461","0.00007087461","893","893","893","0.00006690183","0.00006690183","0.00006690183","893","893","893","0.000086236774","0.000086236774","0.000086236774","893","893","893","0.00012063812","0.00012063812","0.00012063812","893","893","893","0.000065500106","0.000065500106","0.000065500106","893","893","893","0.0007402931","0.0007402931","0.0007402931","893","893","893","0.0000600413","0.0000600413","0.0000600413","893","893","893","0.00009682178","0.00009682178","0.00009682178"
"6400","902","902","902","0.00007078709","0.00007078709","0.00007078709","902","902","902","0.00009992676","0.00009992676","0.00009992676","902","902","902","0.00008105781","0.00008105781","0.00008105781","902","902","902","0.00006438889","0.00006438889","0.00006438889","902","902","902","0.000079838755","0.000079838755","0.000079838755","902","902","902","0.00012025061","0.00012025061","0.00012025061","902","902","902","0.0000668993","0.0000668993","0.0000668993","902","902","902","0.00014513951","0.00014513951","0.00014513951","902","902","902","0.000058817306","0.000058817306","0.000058817306","902","902","902","0.00008300449","0.00008300449","0.00008300449"
"6450","912","912","912","0.000066720866","0.000066720866","0.000066720866","912","912","912","0.00007737958","0.00007737958","0.00007737958","912","912","912","0.0000679815","0.0000679815","0.0000679815","912","912","912","0.00006702529","0.00006702529","0.00006702529","912","912","912","0.00008104486","0.00008104486","0.00008104486","912","912","912","0.00022561837","0.00022561837","0.00022561837","912","912","912","0.0010050912","0.0010050912","0.0010050912","912","912","912","0.0011294592","0.0011294592","0.0011294592","912","912","912","0.000049976738","0.000049976738","0.000049976738","912","912","912","0.00012047509","0.00012047509","0.00012047509"
"6500","921","921","921","0.0000757917","0.0000757917","0.0000757917","921","921","921","0.00046303184","0.00046303184","0.00046303184","921","921","921","0.000081924474","0.000081924474","0.000081924474","921","921","921","0.00005901698","0.00005901698","0.00005901698","921","921","921","0.00007199474","0.00007199474","0.00007199474","921","921","921","0.00011788903","0.00011788903","0.00011788903","921","921","921","0.0009954066","0.0009954066","0.0009954066","921","921","921","0.0011043797","0.0011043797","0.0011043797","921","921","921","0.000052516585","0.000052516585","0.000052516585","921","921","921","0.00008156744","0.00008156744","0.00008156744"
"6550","930","930","930","0.000065787055","0.000065787055","0.000065787055","930","930","930","0.00046045898","0.00046045898","0.00046045898","930","930","930","0.000074438416","0.000074438416","0.000074438416","930","930","930","0.000059140722","0.000059140722","0.000059140722","930","930","930","0.00007019604","0.00007019604","0.00007019604","930","930","930","0.00010120573","0.00010120573","0.00010120573","930","930","930","0.00010195628","0.00010195628","0.00010195628","930","930","930","0.00009554513","0.00009554513","0.00009554513","930","930","930","0.000057271624","0.000057271624","0.000057271624","930","930","930","0.000091283895","0.000091283895","0.000091283895"
"6600","939","939","939","0.00006628302","0.00006628302","0.00006628302","939","939","939","0.00016062934","0.00016062934","0.00016062934","939","939","939","0.000090486115","0.000090486115","0.000090486115","939","939","939","0.00005587912","0.00005587912","0.00005587912","939","939","939","0.0000942598","0.0000942598","0.0000942598","939","939","939","0.00016334573","0.00016334573","0.00016334573","939","939","939","0.00006725133","0.00006725133","0.00006725133","939","939","939","0.0001397161","0.0001397161","0.0001397161","939","939","939","0.000048576636","0.000048576636","0.000048576636","939","939","939","0.0008905403","0.0008905403","0.0008905403"
"6650","949","949","949","0.00007551351","0.00007551351","0.00007551351","949","949","949","0.0001957117","0.0001957117","0.0001957117","949","949","949","0.000119653196","0.000119653196","0.000119653196","949","949","949","0.000060617298","0.000060617298","0.000060617298","949","949","949","0.00006712819","0.00006712819","0.00006712819","949","949","949","0.00012688818","0.00012688818","0.00012688818","949","949","949","0.000070902715","0.000070902715","0.000070902715","949","949","949","0.00009918796","0.00009918796","0.00009918796","949","949","949","0.00006520481","0.00006520481","0.00006520481","949","949","949","0.00008653902","0.00008653902","0.00008653902"
"6700","958","958","958","0.00008407568","0.00008407568","0.00008407568","958","958","958","0.00008561685","0.00008561685","0.00008561685","958","958","958","0.000081001686","0.000081001686","0.000081001686","958","958","958","0.000085171356","0.000085171356","0.000085171356","958","958","958","0.000080959886","0.000080959886","0.000080959886","958","958","958","0.000116308","0.000116308","0.000116308","958","958","958","0.00005673097","0.00005673097","0.00005673097","958","958","958","0.00011337615","0.00011337615","0.00011337615","958","958","958","0.00004981552","0.00004981552","0.00004981552","958","958","958","0.00010319001","0.00010319001","0.00010319001"
"6750","967","967","967","0.00007782389","0.00007782389","0.00007782389","967","967","967","0.000079848665","0.000079848665","0.000079848665","967","967","967","0.00006307823","0.00006307823","0.00006307823","967","967","967","0.000099473764","0.000099473764","0.000099473764","967","967","967","0.000059895996","0.000059895996","0.000059895996","967","967","967","0.00015871397","0.00015871397","0.00015871397","967","967","967","0.0000654311","0.0000654311","0.0000654311","967","967","967","0.00014205047","0.00014205047","0.00014205047","967","967","967","0.00004911919","0.00004911919","0.00004911919","967","967","967","0.00010170134","0.00010170134","0.00010170134"
"6800","976","976","976","0.000077088414","0.000077088414","0.000077088414","976","976","976","0.00009657057","0.00009657057","0.00009657057","976","976","976","0.00006657172","0.00006657172","0.00006657172","976","976","976","0.000085492095","0.000085492095","0.000085492095","976","976","976","0.00007551524","0.00007551524","0.00007551524","976","976","976","0.00016700313","0.00016700313","0.00016700313","976","976","976","0.00010119402","0.00010119402","0.00010119402","976","976","976","0.00010059033","0.00010059033","0.00010059033","976","976","976","0.00005695743","0.00005695743","0.00005695743","976","976","976","0.000103808285","0.000103808285","0.000103808285"
"6850","986","986","986","0.00011190299","0.00011190299","0.00011190299","986","986","986","0.000075596145","0.000075596145","0.000075596145","986","986","986","0.00007068945","0.00007068945","0.00007068945","986","986","986","0.000068829584","0.000068829584","0.000068829584","986","986","986","0.00006748938","0.00006748938","0.00006748938","986","986","986","0.00013629076","0.00013629076","0.00013629076","986","986","986","0.00007951158","0.00007951158","0.00007951158","986","986","986","0.0001224764","0.0001224764","0.0001224764","986","986","986","0.00018025665","0.00018025665","0.00018025665","987","987","987","0.00008533561","0.00008533561","0.00008533561"
"6900","995","995","995","0.000074140946","0.000074140946","0.000074140946","995","995","995","0.000082929735","0.000082929735","0.000082929735","995","995","995","0.00006976754","0.00006976754","0.00006976754","995","995","995","0.000052540134","0.000052540134","0.000052540134","995","995","995","0.000068193534","0.000068193534","0.000068193534","995","995","995","0.00010353955","0.00010353955","0.00010353955","995","995","995","0.00008106086","0.00008106086","0.00008106086","995","995","995","0.00032334376","0.00032334376","0.00032334376","995","995","995","0.000053303294","0.000053303294","0.000053303294","996","996","996","0.00007218181","0.00007218181","0.00007218181"
"6950","1004","1004","1004","0.00009403409","0.00009403409","0.00009403409","1004","1004","1004","0.00009826389","0.00009826389","0.00009826389","1004","1004","1004","0.00011716063","0.00011716063","0.00011716063","1004","1004","1004","0.000061053666","0.000061053666","0.000061053666","1004","1004","1004","0.00010635624","0.00010635624","0.00010635624","1005","1005","1005","0.00011900148","0.00011900148","0.00011900148","1004","1004","1004","0.0000746157","0.0000746157","0.0000746157","1004","1004","1004","0.00011125223","0.00011125223","0.00011125223","1004","1004","1004","0.000052137766","0.000052137766","0.000052137766","1005","1005","1005","0.00021725794","0.00021725794","0.00021725794"
"7000","1013","1013","1013","0.00006901994","0.00006901994","0.00006901994","1013","1013","1013","0.00047112108","0.00047112108","0.00047112108","1013","1013","1013","0.000069785616","0.000069785616","0.000069785616","1013","1013","1013","0.000055406177","0.000055406177","0.000055406177","1013","1013","1013","0.00008057317","0.00008057317","0.00008057317","1014","1014","1014","0.00010803522","0.00010803522","0.00010803522","1013","1013","1013","0.00008213887","0.00008213887","0.00008213887","1013","1013","1013","0.00012460932","0.00012460932","0.00012460932","1013","1013","1013","0.000052086238","0.000052086238","0.000052086238","1014","1014","1014","0.00015808278","0.00015808278","0.00015808278"
"7050","1031","1031","1031","0.00007133918","0.00007133918","0.00007133918","1031","1031","1031","0.00007936002","0.00007936002","0.00007936002","1031","1031","1031","0.00010513915","0.00010513915","0.00010513915","1031","1031","1031","0.000054424658","0.000054424658","0.000054424658","1031","1031","1031","0.00013167766","0.00013167766","0.00013167766","1031","1031","1031","0.000109018605","0.000109018605","0.000109018605","1031","1031","1031","0.00007701434","0.00007701434","0.00007701434","1031","1031","1031","0.0013669656","0.0013669656","0.0013669656","1031","1031","1031","0.00005602469","0.00005602469","0.00005602469","1031","1031","1031","0.00073225365","0.00073225365","0.00073225365"
"7100","1040","1040","1040","0.000070360606","0.000070360606","0.000070360606","1040","1040","1040","0.00008167323","0.00008167323","0.00008167323","1040","1040","1040","0.00009449295","0.00009449295","0.00009449295","1040","1040","1040","0.000084359956","0.000084359956","0.000084359956","1040","1040","1040","0.0011166236","0.0011166236","0.0011166236","1040","1040","1040","0.00011500422","0.00011500422","0.00011500422","1040","1040","1040","0.00006306813","0.00006306813","0.00006306813","1040","1040","1040","0.00014607489","0.00014607489","0.00014607489","1040","1040","1040","0.00005932408","0.00005932408","0.00005932408","1040","1040","1040","0.00008864248","0.00008864248","0.00008864248"
"7150","1049","1049","1049","0.00007133203","0.00007133203","0.00007133203","1049","1049","1049","0.00007024186","0.00007024186","0.00007024186","1049","1049","1049","0.00007225612","0.00007225612","0.00007225612","1049","1049","1049","0.00005509799","0.00005509799","0.00005509799","1049","1049","1049","0.00009231994","0.00009231994","0.00009231994","1049","1049","1049","0.00011821715","0.00011821715","0.00011821715","1049","1049","1049","0.000059739483","0.000059739483","0.000059739483","1049","1049","1049","0.000106504274","0.000106504274","0.000106504274","1049","1049","1049","0.000050134575","0.000050134575","0.000050134575","1049","1049","1049","0.00010135574","0.00010135574","0.00010135574"
"7200","1058","1058","1058","0.00010566744","0.00010566744","0.00010566744","1058","1058","1058","0.00008348855","0.00008348855","0.00008348855","1058","1058","1058","0.00007084215","0.00007084215","0.00007084215","1058","1058","1058","0.000049241702","0.000049241702","0.000049241702","1058","1058","1058","0.000085845284","0.000085845284","0.000085845284","1058","1058","1058","0.00010741799","0.00010741799","0.00010741799","1058","1058","1058","0.00005223748","0.00005223748","0.00005223748","1058","1058","1058","0.00009933165","0.00009933165","0.00009933165","1058","1058","1058","0.00008231208","0.00008231208","0.00008231208","1058","1058","1058","0.00008039734","0.00008039734","0.00008039734"
"7250","1068","1068","1068","0.000067976485","0.000067976485","0.000067976485","1068","1068","1068","0.00006866235","0.00006866235","0.00006866235","1068","1068","1068","0.00005885316","0.00005885316","0.00005885316","1068","1068","1068","0.000049325696","0.000049325696","0.000049325696","1068","1068","1068","0.000071224305","0.000071224305","0.000071224305","1068","1068","1068","0.00058636983","0.00058636983","0.00058636983","1068","1068","1068","0.00006718193","0.00006718193","0.00006718193","1068","1068","1068","0.00029597583","0.00029597583","0.00029597583","1068","1068","1068","0.000053902513","0.000053902513","0.000053902513","1068","1068","1068","0.00090640236","0.00090640236","0.00090640236"
